ID Titulación,Título,Universidad STRAPI,Abreviatura UNI,Coste medio matrícula,TIPO OUT-UNI,CCAA - PROVINCIAS
UPC-Grado en Ingeniería de Recursos Energéticos y Mineros por la Universidad Politécnica de Catalunya,Grado en Ingeniería de Recursos Energéticos y Mineros por la Universidad Politécnica de Catalunya,Universidad Politécnica de Catalunya - UPC,UPC,No encontrado,Pública,CATALUÑA
UPM-Grado en Ingeniería de la Energía por la Universidad Politécnica de Madrid,Grado en Ingeniería de la Energía por la Universidad Politécnica de Madrid,Universidad Politécnica de Madrid - UPM,UPM,No encontrado,Pública,MADRID
"UPM-Grado en Ingeniería de los Recursos Energéticos, Combustibles y Explosivos por la Universidad Politécnica de Madrid","Grado en Ingeniería de los Recursos Energéticos, Combustibles y Explosivos por la Universidad Politécnica de Madrid",Universidad Politécnica de Madrid - UPM,UPM,No encontrado,Pública,MADRID
UPV-Grado en Ingeniería de la Energía por la Universitat Politècnica de València,Grado en Ingeniería de la Energía por la Universitat Politècnica de València,Universidad Politécnica de Valencia - UPV,UPV,"€4.161,60",Pública,VALENCIA
UPV-Máster Universitario en Tecnología Energética para el Desarrollo Sostenible por la Universitat Politècnica de València,Máster Universitario en Tecnología Energética para el Desarrollo Sostenible por la Universitat Politècnica de València,Universidad Politécnica de Valencia - UPV,UPV,No encontrado,Pública,VALENCIA
URJC-Grado en Ingeniería de la Energía por la Universidad Rey Juan Carlos,Grado en Ingeniería de la Energía por la Universidad Rey Juan Carlos,Universidad Rey Juan Carlos - URJC,URJC,No encontrado,Pública,MADRID
URJC-Máster Universitario en Tecnología y Recursos Energéticos,Máster Universitario en Tecnología y Recursos Energéticos,Universidad Rey Juan Carlos - URJC,URJC,No encontrado,Pública,MADRID
URJC-Máster Universitario en Tecnologías Energéticas de Bajas Emisiones de CO2 por la Universidad Rey Juan Carlos,Máster Universitario en Tecnologías Energéticas de Bajas Emisiones de CO2 por la Universidad Rey Juan Carlos,Universidad Rey Juan Carlos - URJC,URJC,No encontrado,Pública,MADRID
URV-Máster Universitario en Ingeniería Ambiental y Sostenibilidad Energética / Environmental Engineering and Sustainable Energy por la Universidad Rovira i Virgili,Máster Universitario en Ingeniería Ambiental y Sostenibilidad Energética / Environmental Engineering and Sustainable Energy por la Universidad Rovira i Virgili,Universidad Rovira i Virgili - URV,URV,€2.054,Pública,CATALUÑA
URV-Máster Universitario en Sistemas y Tecnologías de Conversión de Energía / Master in Energy Conversion Systems and Technologies por la Universidad Rovira i Virgili,Máster Universitario en Sistemas y Tecnologías de Conversión de Energía / Master in Energy Conversion Systems and Technologies por la Universidad Rovira i Virgili,Universidad Rovira i Virgili - URV,URV,No encontrado,Pública,CATALUÑA
USJ-Grado en Ingeniería de Energía y Medio Ambiente por la Universidad San Jorge,Grado en Ingeniería de Energía y Medio Ambiente por la Universidad San Jorge,Universidad San Jorge - USJ,USJ,No encontrado,Privada,ARAGÓN
CEU-Máster Universitario en Regulación del Sector Energético por la Universidad San Pablo-CEU,Máster Universitario en Regulación del Sector Energético por la Universidad San Pablo-CEU,Universidad San Pablo CEU,CEU,No encontrado,Privada,MADRID
VIU-Máster Universitario en Energías Renovables por la Universitat Internacional Valenciana,Máster Universitario en Energías Renovables por la Universitat Internacional Valenciana,Universitat Internacional de Valencia - VIU,VIU,No encontrado,Privada,VALENCIA
UNIZAR-Energías Renovables y Eficiencia Energética,Máster Energías Renovables y Eficiencia Energética,Universidad de Zaragoza - UNIZAR,UNIZAR,No encontrado,Pública,ARAGÓN
UDC-Máster Eficiencia Energética y Sostenibilidad,Máster Eficiencia Energética y Sostenibilidad,Universidad de Coruña - UDC,UDC,€900,Pública,GALICIA
UNIZAR-Máster Energías Renovables,Máster Energías Renovables,Universidad de Zaragoza - UNIZAR,UNIZAR,€2.150,Pública,ARAGÓN
UC3M-Ingeniería en Energía,Grado en Ingeniería en Energía,Universidad Carlos III de Madrid - UC3M,UC3M,€4.663,Pública,MADRID
UPV-EHUS-Ingeniería Energética,Grado en Ingeniería Energética,Universidad del País Vasco - UPV EHU,UPV EHU,€4.450,Pública,PAÍS VASCO
UMH-Ingeniería Mecánica y Energía,Grado en Ingeniería Mecánica y Energía,Universidad Miguel Hernández - UMH,UMH,€4.162,Pública,VALENCIA
"USC-Máster en energías renovables, cambio climático y desarrollo sostenible","Máster en energías renovables, cambio climático y desarrollo sostenible",Universidad Santiago de Compostela - USC,USC,No encontrado,Pública,GALICIA
